participant,age,gender,real_angle,real_time,angle_click,estimated_time,difference_sec
faxaxo,32,Home,11.89,7.7645,329.28,7.4616,-0.303
faxaxo,32,Home,358.99,20.4728,336.08,20.3099,-0.1629
faxaxo,32,Home,357.93,33.2653,338.24,33.1253,-0.14
faxaxo,32,Home,341.97,43.3918,338.03,43.3637,-0.0281
faxaxo,32,Home,7.29,58.9318,344.74,58.7715,-0.1603
faxaxo,32,Home,1.44,71.6902,339.52,71.5344,-0.1558
faxaxo,32,Home,357.26,81.9005,335.37,81.7448,-0.1557
faxaxo,32,Home,353.09,92.1109,332.45,91.9641,-0.1468
faxaxo,32,Home,2.92,102.4207,340.35,102.2602,-0.1605
faxaxo,32,Home,8.11,112.6977,332.91,112.4474,-0.2503
faxaxo,32,Home,2.41,125.4571,333.04,125.2483,-0.2088
faxaxo,32,Home,290.92,137.7488,270.49,137.6035,-0.1453
faxaxo,32,Home,90.72,149.1251,88.14,149.1068,-0.0183
faxaxo,32,Home,98.27,159.4188,85.29,159.3265,-0.0922
faxaxo,32,Home,103.38,169.6951,86.34,169.574,-0.1212
faxaxo,32,Home,64.04,179.6554,49.9,179.5548,-0.1005
faxaxo,32,Home,187.79,195.8954,180.23,195.8416,-0.0538
faxaxo,32,Home,176.53,206.0553,153.64,205.8926,-0.1627
faxaxo,32,Home,51.23,217.9643,31.08,217.821,-0.1433
faxaxo,32,Home,161.82,228.9907,137.52,228.8179,-0.1728
faxaxo,32,Home,90.52,241.2837,77.74,241.1929,-0.0909
faxaxo,32,Home,355.62,253.4089,343.87,253.3253,-0.0835
faxaxo,32,Home,3.18,263.7026,348.1,263.5954,-0.1073
faxaxo,32,Home,59.84,274.3455,46.74,274.2523,-0.0932
faxaxo,32,Home,301.54,286.3043,293.56,286.2476,-0.0567
faxaxo,32,Home,2.93,296.9809,350.61,296.8933,-0.0876
faxaxo,32,Home,94.77,307.8739,70.62,307.7022,-0.1717
faxaxo,32,Home,1.6,317.4514,353.44,317.3933,-0.0581
faxaxo,32,Home,273.08,327.0619,262.36,326.9857,-0.0762
faxaxo,32,Home,9.61,337.9884,349.37,337.8444,-0.144
faxaxo,32,Home,96.74,348.848,72.93,348.6786,-0.1693
faxaxo,32,Home,84.52,371.801,342.8,371.0777,-0.7233
faxaxo,32,Home,358.26,381.4276,344.5,381.3298,-0.0978
faxaxo,32,Home,206.21,431.5464,325.29,432.3932,0.8468
