participant,age,gender,real_angle,real_time,angle_click,estimated_time,difference_sec
davids,31,Home,153.98,11.335,56.04,10.6385,-0.6965
davids,31,Home,276.04,30.123,177.84,29.4246,-0.6983
davids,31,Home,60.1,43.9474,1.61,43.5315,-0.4159
davids,31,Home,83.06,59.4706,1.61,58.8915,-0.5792
davids,31,Home,289.18,68.6164,1.61,69.1315,0.5151
davids,31,Home,317.4,86.7371,241.65,86.1984,-0.5387
davids,31,Home,81.11,102.9768,1.85,102.4131,-0.5636
davids,31,Home,74.32,120.8485,357.47,120.302,-0.5465
davids,31,Home,151.91,139.3203,56.9,138.6446,-0.6756
davids,31,Home,224.1,155.1936,121.92,154.467,-0.7267
davids,31,Home,272.88,170.9005,187.54,170.2936,-0.6069
